ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
SOLV,Solventum Corporation,stocks,us,XNYS,CS,True,usd,0001964738,BBG018YZH6T3,BBG018YZH6V0,2024-04-19T00:00:00Z
SON,Sonoco Products Company,stocks,us,XNYS,CS,True,usd,0000091767,BBG000D7HF89,BBG001S7M9F1,2024-04-19T00:00:00Z
SOND,Sonder Holdings Inc. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001819395,BBG00Z480N45,BBG00Z480P04,2024-04-19T00:00:00Z
SONM,"Sonim Technologies, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001178697,BBG000D5J0L9,BBG001SMF920,2024-04-19T00:00:00Z
SONN,"Sonnet BioTherapeutics Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001106838,BBG000BVZ4N6,BBG001SJ3JN5,2024-04-19T00:00:00Z
SONO,"Sonos, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001314727,BBG001JZPSQ2,BBG001SRR9R9,2024-04-19T00:00:00Z
SOPA,Society Pass Incorporated Common Stock,stocks,us,XNAS,CS,True,usd,0001817511,BBG00QX3CQ35,BBG00QX3CQD4,2024-04-19T00:00:00Z
SOPH,SOPHiA GENETICS SA Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001840706,,,2024-04-19T00:00:00Z
SOTK,Sono-Tek Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0000806172,BBG000BTC2J5,BBG001S5W866,2024-04-19T00:00:00Z
SOUN,"SoundHound AI, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001840856,BBG017304ND0,BBG017304PD5,2024-04-19T00:00:00Z
SP,SP Plus Corporation,stocks,us,XNAS,CS,True,usd,0001059262,BBG000BJ91B1,BBG001S7TNN4,2024-04-19T00:00:00Z
SPB,"Spectrum Brands Holdings, Inc.",stocks,us,XNYS,CS,True,usd,0000109177,BBG000DS5588,BBG001S63S71,2024-04-19T00:00:00Z
SPCB,"SuperCom, Ltd",stocks,us,XNAS,CS,True,usd,0001291855,,,2024-04-19T00:00:00Z
SPCE,"Virgin Galactic Holdings, Inc.",stocks,us,XNYS,CS,True,usd,0001706946,BBG00HTN2CQ3,BBG00HTN2DF3,2024-04-19T00:00:00Z
SPEC,"Spectaire Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001844149,BBG00ZZMJPL6,BBG00ZZMJPN4,2024-04-19T00:00:00Z
SPFI,"South Plains Financial, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001163668,BBG000QL34X6,BBG001SN2YN4,2024-04-19T00:00:00Z
SPG,"Simon Property Group, Inc.",stocks,us,XNYS,CS,True,usd,0001063761,BBG000BJ2D31,BBG001S77WM9,2024-04-19T00:00:00Z
SPGC,"Sacks Parente Golf, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001934245,BBG0193GDMX1,BBG0193GDNR6,2024-04-19T00:00:00Z
SPGI,S&P Global Inc.,stocks,us,XNYS,CS,True,usd,0000064040,BBG000BP1Q11,BBG001S5T5M8,2024-04-19T00:00:00Z
SPH,Suburban Propane Partners L P,stocks,us,XNYS,CS,True,usd,0001005210,BBG000BJ7NF1,BBG001S6DDV6,2024-04-19T00:00:00Z
SPHR,Sphere Entertainment Co.,stocks,us,XNYS,CS,True,usd,0001795250,BBG00L9HLWV8,BBG00L9HLWW7,2024-04-19T00:00:00Z
SPI,"SPI Energy Co., Ltd. Ordinary Shares",stocks,us,XNAS,CS,True,usd,0001210618,,,2024-04-19T00:00:00Z
SPIR,"Spire Global, Inc.",stocks,us,XNYS,CS,True,usd,0001816017,BBG00WCNHBW7,BBG00WCNHBY5,2024-04-19T00:00:00Z
SPKL,Spark I Acquisition Corp. Class A Ordinary Share,stocks,us,XNAS,CS,True,usd,0001884046,,,2024-04-19T00:00:00Z
SPLP,STEEL PARTNERS HOLDINGS L.P.,stocks,us,XNYS,CS,True,usd,0001452857,BBG001LT3079,BBG001V0XZR9,2024-04-19T00:00:00Z
SPNS,Sapiens International Corporation N.V. Common Shares (Cayman Islands),stocks,us,XNAS,CS,True,usd,0000885740,,,2024-04-19T00:00:00Z
SPNT,SiriusPoint Ltd.,stocks,us,XNYS,CS,True,usd,0001576018,,,2024-04-19T00:00:00Z
SPOK,"Spok Holdings, Inc",stocks,us,XNAS,CS,True,usd,0001289945,BBG000N4KB80,BBG001SF3J26,2024-04-19T00:00:00Z
SPOT,Spotify Technology S.A.,stocks,us,XNYS,CS,True,usd,0001639920,,,2024-04-19T00:00:00Z
SPPL,SIMPPLE LTD. Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001948697,,,2024-04-19T00:00:00Z
SPR,"Spirit Aerosystems Holdings, Inc.",stocks,us,XNYS,CS,True,usd,0001364885,BBG000PRJ2Z9,BBG001SKF1N8,2024-04-19T00:00:00Z
SPRB,"Spruce Biosciences, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001683553,BBG00HYZ1522,BBG00HYZ1559,2024-04-19T00:00:00Z
SPRC,SciSparc Ltd. Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001611746,,,2024-04-19T00:00:00Z
SPRO,"Spero Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001701108,BBG00HXSJ1R2,BBG00HXSJ1S1,2024-04-19T00:00:00Z
SPRU,Spruce Power Holding Corporation,stocks,us,XNYS,CS,True,usd,0001772720,BBG00PP0KRL1,BBG00PP0KRM0,2024-04-19T00:00:00Z
SPRY,"ARS Pharmaceuticals, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001671858,BBG00FZQGXG3,BBG00FZQGXH2,2024-04-19T00:00:00Z
SPSC,"SPS Commerce, Inc.",stocks,us,XNAS,CS,True,usd,0001092699,BBG000PZGB75,BBG001T65R07,2024-04-19T00:00:00Z
SPT,"Sprout Social, Inc Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001517375,BBG001K1CT23,BBG001V0K3F7,2024-04-19T00:00:00Z
SPTN,SpartanNash Company,stocks,us,XNAS,CS,True,usd,0000877422,BBG000CGC453,BBG001S7LC92,2024-04-19T00:00:00Z
SPWH,"Sportsman's Warehouse Holdings, Inc.",stocks,us,XNAS,CS,True,usd,0001132105,BBG002G8Q1H1,BBG002G8Q1J9,2024-04-19T00:00:00Z
SPWR,SunPower Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0000867773,BBG000FVQ185,BBG001SN52J6,2024-04-19T00:00:00Z
SPXC,"SPX Technologies, Inc.",stocks,us,XNYS,CS,True,usd,0000088205,BBG000BTGCV5,BBG001S5W9N5,2024-04-19T00:00:00Z
SQ,"Block, Inc.",stocks,us,XNYS,CS,True,usd,0001512673,BBG0018SLC07,BBG001TFLWL5,2024-04-19T00:00:00Z
SQFT,"Presidio Property Trust, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001080657,BBG00HS39XJ3,BBG00HS39Y74,2024-04-19T00:00:00Z
SQSP,"Squarespace, Inc.",stocks,us,XNYS,CS,True,usd,0001496963,BBG00389GQ73,BBG00389GQ82,2024-04-19T00:00:00Z
SR,Spire Inc.,stocks,us,XNYS,CS,True,usd,0001126956,BBG000BN6KG8,BBG001S5SSD9,2024-04-19T00:00:00Z
SRAD,Sportradar Group AG Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001836470,,,2024-04-19T00:00:00Z
SRBK,"SR Bancorp, Inc. Common stock",stocks,us,XNAS,CS,True,usd,0001951276,BBG01FTV4WM6,BBG01FTV4XH0,2024-04-19T00:00:00Z
SRCE,1st Source Corp,stocks,us,XNAS,CS,True,usd,0000034782,BBG000BTH4T5,BBG001S5WB32,2024-04-19T00:00:00Z
SRCL,Stericycle Inc,stocks,us,XNAS,CS,True,usd,0000861878,BBG000H3FZM6,BBG001S7P0T2,2024-04-19T00:00:00Z
SRDX,"Surmodics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0000924717,BBG000BZ2QG2,BBG001SBL623,2024-04-19T00:00:00Z
SRE,Sempra,stocks,us,XNYS,CS,True,usd,0001032208,BBG000C2ZCH8,BBG001SBVZ73,2024-04-19T00:00:00Z
SRFM,Surf Air Mobility Inc.,stocks,us,XNYS,CS,True,usd,0001936224,BBG00X3GMTJ0,BBG00X3GMTK8,2024-04-19T00:00:00Z
SRG,"Seritage Growth Properties Class A common shares of beneficial interest, par value $0.01",stocks,us,XNYS,CS,True,usd,0001628063,BBG008NVFMN8,BBG008NVFMP6,2024-04-19T00:00:00Z
SRI,"Stoneridge, Inc",stocks,us,XNYS,CS,True,usd,0001043337,BBG000BB9Q78,BBG001S5RX58,2024-04-19T00:00:00Z
SRL,Scully Royalty Ltd. Common Shares,stocks,us,XNYS,CS,True,usd,0000016859,,,2024-04-19T00:00:00Z
SRM,"SRM Entertainment, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001956744,BBG01GV42DG2,BBG01GV42F95,2024-04-19T00:00:00Z
SRPT,"Sarepta Therapeutics,, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0000873303,BBG000BCJ161,BBG001S6KJC6,2024-04-19T00:00:00Z
SRRK,Scholar Rock Holding Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0001727196,BBG00KT2RRM6,BBG00KT2RSD4,2024-04-19T00:00:00Z
SRTS,"Sensus Healthcare, Inc",stocks,us,XNAS,CS,True,usd,0001494891,BBG0074FZRZ0,BBG0074FZS06,2024-04-19T00:00:00Z
SRZN,"Surrozen, Inc. Common",stocks,us,XNAS,CS,True,usd,0001824893,BBG00XY94S95,BBG00XY94SB2,2024-04-19T00:00:00Z
SSB,SouthState Corporation,stocks,us,XNYS,CS,True,usd,0000764038,BBG000BNPYN9,BBG001S9J7Z3,2024-04-19T00:00:00Z
SSBI,Summit State Bank,stocks,us,XNAS,CS,True,usd,,BBG000R7ZZX2,BBG001SRFLF8,2024-04-19T00:00:00Z
SSBK,"Southern States Bancshares, Inc. Common",stocks,us,XNAS,CS,True,usd,0001689731,BBG000MHBQT6,BBG001T4RVD5,2024-04-19T00:00:00Z
SSD,"Simpson Manufacturing Co., Inc.",stocks,us,XNYS,CS,True,usd,0000920371,BBG000JLC8L8,BBG001SB9QN0,2024-04-19T00:00:00Z
SSIC,Silver Spike Investment Corp. Common Stock,stocks,us,XNAS,CS,True,usd,0001843162,BBG011K51BR7,BBG011K51CL1,2024-04-19T00:00:00Z
SSKN,"Strata Skin Sciences, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001051514,BBG000DK7609,BBG001SHBV08,2024-04-19T00:00:00Z
